지점,지점명,일시,평균기온(°C)
119,수원,1975-01-01,.5
119,수원,1975-01-02,1
119,수원,1975-01-03,-3.1
119,수원,1975-01-04,-1.2
119,수원,1975-01-05,-1.7
119,수원,1975-01-06,-2.4
119,수원,1975-01-07,.4
119,수원,1975-01-08,.8
119,수원,1975-01-09,-3.9
119,수원,1975-01-10,-5.8
119,수원,1975-01-11,-7.6
119,수원,1975-01-12,-5.8
119,수원,1975-01-13,-3.2
119,수원,1975-01-14,-5.5
119,수원,1975-01-15,-2.4
119,수원,1975-01-16,-6.7
119,수원,1975-01-17,-7.5
119,수원,1975-01-18,-8.4
119,수원,1975-01-19,-7.7
119,수원,1975-01-20,-7.5
119,수원,1975-01-21,-4.9
119,수원,1975-01-22,-.7
119,수원,1975-01-23,.5
119,수원,1975-01-24,-.1
119,수원,1975-01-25,0
119,수원,1975-01-26,-2.4
119,수원,1975-01-27,-1.1
119,수원,1975-01-28,-5.8
119,수원,1975-01-29,-5.4
119,수원,1975-01-30,-5.3
119,수원,1975-01-31,-5.9
119,수원,1975-02-01,-2.5
119,수원,1975-02-02,1.5
119,수원,1975-02-03,4.6
119,수원,1975-02-04,4.5
119,수원,1975-02-05,3.4
119,수원,1975-02-06,5.3
119,수원,1975-02-07,-1.9
119,수원,1975-02-08,-5.3
119,수원,1975-02-09,-5.2
119,수원,1975-02-10,-5.6
119,수원,1975-02-11,-4.6
119,수원,1975-02-12,-.9
119,수원,1975-02-13,-1.1
119,수원,1975-02-14,1.8
119,수원,1975-02-15,-2.4
119,수원,1975-02-16,-3.3
119,수원,1975-02-17,-4.1
119,수원,1975-02-18,-2.4
119,수원,1975-02-19,-2.9
119,수원,1975-02-20,-2.8
119,수원,1975-02-21,-4.3
119,수원,1975-02-22,-4.8
119,수원,1975-02-23,-4
119,수원,1975-02-24,3.4
119,수원,1975-02-25,1.6
119,수원,1975-02-26,-2.3
119,수원,1975-02-27,-.4
119,수원,1975-02-28,-1.4
119,수원,1975-03-01,-.8
119,수원,1975-03-02,-.6
119,수원,1975-03-03,1.8
119,수원,1975-03-04,2.5
119,수원,1975-03-05,4.3
119,수원,1975-03-06,1.4
119,수원,1975-03-07,.7
119,수원,1975-03-08,2
119,수원,1975-03-09,2.8
119,수원,1975-03-10,3.3
119,수원,1975-03-11,3.6
119,수원,1975-03-12,2.6
119,수원,1975-03-13,1.5
119,수원,1975-03-14,2.6
119,수원,1975-03-15,3.3
119,수원,1975-03-16,3.7
119,수원,1975-03-17,5.5
119,수원,1975-03-18,6.1
119,수원,1975-03-19,7.9
119,수원,1975-03-20,5.8
119,수원,1975-03-21,3.4
119,수원,1975-03-22,4.3
119,수원,1975-03-23,4.3
119,수원,1975-03-24,2.9
119,수원,1975-03-25,.9
119,수원,1975-03-26,2.8
119,수원,1975-03-27,4.3
119,수원,1975-03-28,5.5
119,수원,1975-03-29,5.2
119,수원,1975-03-30,6.2
119,수원,1975-03-31,4.3
119,수원,1975-04-01,3.8
119,수원,1975-04-02,4.1
119,수원,1975-04-03,5.3
119,수원,1975-04-04,6.9
119,수원,1975-04-05,8
119,수원,1975-04-06,8.8
119,수원,1975-04-07,10.2
119,수원,1975-04-08,8.9
119,수원,1975-04-09,9.1
119,수원,1975-04-10,9.9
119,수원,1975-04-11,9.8
119,수원,1975-04-12,10.7
119,수원,1975-04-13,11.3
119,수원,1975-04-14,10.7
119,수원,1975-04-15,14.7
119,수원,1975-04-16,16
119,수원,1975-04-17,18.6
119,수원,1975-04-18,16.3
