지점,지점명,일시,평균기온(°C)
119,수원,1975-04-19,15.7
119,수원,1975-04-20,14.3
119,수원,1975-04-21,14.4
119,수원,1975-04-22,14.4
119,수원,1975-04-23,12.8
119,수원,1975-04-24,14.2
119,수원,1975-04-25,16.3
119,수원,1975-04-26,13.7
119,수원,1975-04-27,15.5
119,수원,1975-04-28,14
119,수원,1975-04-29,16.8
119,수원,1975-04-30,19.6
119,수원,1975-05-01,19.6
119,수원,1975-05-02,13.6
119,수원,1975-05-03,14.1
119,수원,1975-05-04,11.8
119,수원,1975-05-05,11
119,수원,1975-05-06,13.4
119,수원,1975-05-07,13
119,수원,1975-05-08,13
119,수원,1975-05-09,17.3
119,수원,1975-05-10,19.1
119,수원,1975-05-11,19
119,수원,1975-05-12,17.2
119,수원,1975-05-13,14
119,수원,1975-05-14,14.9
119,수원,1975-05-15,15.1
119,수원,1975-05-16,15.1
119,수원,1975-05-17,17
119,수원,1975-05-18,15.6
119,수원,1975-05-19,13.9
119,수원,1975-05-20,14.7
119,수원,1975-05-21,15.7
119,수원,1975-05-22,16.1
119,수원,1975-05-23,17.2
119,수원,1975-05-24,17.4
119,수원,1975-05-25,17.5
119,수원,1975-05-26,18.3
119,수원,1975-05-27,19
119,수원,1975-05-28,17.3
119,수원,1975-05-29,19.3
119,수원,1975-05-30,18.9
119,수원,1975-05-31,16.7
119,수원,1975-06-01,18.2
119,수원,1975-06-02,18.6
119,수원,1975-06-03,20.7
119,수원,1975-06-04,18.2
119,수원,1975-06-05,19.7
119,수원,1975-06-06,19.4
119,수원,1975-06-07,18.4
119,수원,1975-06-08,18.3
119,수원,1975-06-09,19.1
119,수원,1975-06-10,20.7
119,수원,1975-06-11,20.6
119,수원,1975-06-12,21.2
119,수원,1975-06-13,20.5
119,수원,1975-06-14,20.5
119,수원,1975-06-15,21.9
119,수원,1975-06-16,23.6
119,수원,1975-06-17,19.6
119,수원,1975-06-18,20
119,수원,1975-06-19,21.4
119,수원,1975-06-20,23
119,수원,1975-06-21,24.3
119,수원,1975-06-22,22.3
119,수원,1975-06-23,21.2
119,수원,1975-06-24,20.2
119,수원,1975-06-25,20.2
119,수원,1975-06-26,20.7
119,수원,1975-06-27,21.4
119,수원,1975-06-28,22.4
119,수원,1975-06-29,22
119,수원,1975-06-30,22.8
119,수원,1975-07-01,23.9
119,수원,1975-07-02,25.4
119,수원,1975-07-03,24.7
119,수원,1975-07-04,22.8
119,수원,1975-07-05,23.8
119,수원,1975-07-06,21.6
119,수원,1975-07-07,21.8
119,수원,1975-07-08,22.2
119,수원,1975-07-09,22.5
119,수원,1975-07-10,22.5
119,수원,1975-07-11,21.5
119,수원,1975-07-12,22.1
119,수원,1975-07-13,23
119,수원,1975-07-14,23.8
119,수원,1975-07-15,24.9
119,수원,1975-07-16,24.3
119,수원,1975-07-17,25.9
119,수원,1975-07-18,25.5
119,수원,1975-07-19,26.9
119,수원,1975-07-20,27
119,수원,1975-07-21,27.1
119,수원,1975-07-22,27.5
119,수원,1975-07-23,27.1
119,수원,1975-07-24,26.2
119,수원,1975-07-25,24.3
119,수원,1975-07-26,25.7
119,수원,1975-07-27,24.6
119,수원,1975-07-28,23.6
119,수원,1975-07-29,27.6
119,수원,1975-07-30,28.5
119,수원,1975-07-31,25.7
119,수원,1975-08-01,26.1
119,수원,1975-08-02,26.1
119,수원,1975-08-03,26.9
119,수원,1975-08-04,26.2
119,수원,1975-08-05,27
119,수원,1975-08-06,24.9
119,수원,1975-08-07,25.9
119,수원,1975-08-08,26.2
119,수원,1975-08-09,24.4
119,수원,1975-08-10,24.5
119,수원,1975-08-11,24.3
119,수원,1975-08-12,25.8
119,수원,1975-08-13,26.4
119,수원,1975-08-14,26.3
119,수원,1975-08-15,27.2
119,수원,1975-08-16,27.8
119,수원,1975-08-17,28.7
119,수원,1975-08-18,29.2
119,수원,1975-08-19,28.1
119,수원,1975-08-20,27.9
119,수원,1975-08-21,27.5
119,수원,1975-08-22,26.9
119,수원,1975-08-23,26.1
119,수원,1975-08-24,24.6
119,수원,1975-08-25,24.3
119,수원,1975-08-26,24.5
119,수원,1975-08-27,25
119,수원,1975-08-28,26.4
119,수원,1975-08-29,25.2
119,수원,1975-08-30,25.1
119,수원,1975-08-31,25.5
119,수원,1975-09-01,25.2
119,수원,1975-09-02,25.5
119,수원,1975-09-03,25.6
119,수원,1975-09-04,25.5
119,수원,1975-09-05,26.5
119,수원,1975-09-06,26.4
119,수원,1975-09-07,25.7
119,수원,1975-09-08,24.9
119,수원,1975-09-09,21.8
119,수원,1975-09-10,22.6
119,수원,1975-09-11,23.7
119,수원,1975-09-12,23
119,수원,1975-09-13,20.3
119,수원,1975-09-14,19.4
119,수원,1975-09-15,18.6
119,수원,1975-09-16,20.3
119,수원,1975-09-17,20.8
119,수원,1975-09-18,22.5
119,수원,1975-09-19,22.1
119,수원,1975-09-20,21.2
119,수원,1975-09-21,19.8
119,수원,1975-09-22,19.5
119,수원,1975-09-23,18.4
119,수원,1975-09-24,18.5
119,수원,1975-09-25,20.2
119,수원,1975-09-26,20
119,수원,1975-09-27,19.4
119,수원,1975-09-28,18.2
119,수원,1975-09-29,19.6
119,수원,1975-09-30,19.3
119,수원,1975-10-01,20.2
119,수원,1975-10-02,19.1
119,수원,1975-10-03,20
119,수원,1975-10-04,17.7
119,수원,1975-10-05,15.9
119,수원,1975-10-06,16.9
119,수원,1975-10-07,17
119,수원,1975-10-08,14.6
119,수원,1975-10-09,14.6
119,수원,1975-10-10,13.8
119,수원,1975-10-11,13.8
119,수원,1975-10-12,13.6
119,수원,1975-10-13,14.8
119,수원,1975-10-14,13.3
119,수원,1975-10-15,12.2
119,수원,1975-10-16,13.4
119,수원,1975-10-17,13.8
119,수원,1975-10-18,13.5
119,수원,1975-10-19,13.2
119,수원,1975-10-20,12.8
119,수원,1975-10-21,14
119,수원,1975-10-22,14.4
119,수원,1975-10-23,14.2
119,수원,1975-10-24,13
119,수원,1975-10-25,14.5
119,수원,1975-10-26,13.5
119,수원,1975-10-27,12.1
119,수원,1975-10-28,13.9
119,수원,1975-10-29,11.1
119,수원,1975-10-30,9.9
119,수원,1975-10-31,10
119,수원,1975-11-01,9
119,수원,1975-11-02,10.3
119,수원,1975-11-03,13
119,수원,1975-11-04,13.6
119,수원,1975-11-05,14.4
119,수원,1975-11-06,12.8
119,수원,1975-11-07,12.5
119,수원,1975-11-08,9.2
119,수원,1975-11-09,9.9
119,수원,1975-11-10,9.8
119,수원,1975-11-11,9.1
119,수원,1975-11-12,11.3
119,수원,1975-11-13,12.8
119,수원,1975-11-14,12
119,수원,1975-11-15,12.7
119,수원,1975-11-16,10.6
119,수원,1975-11-17,8.6
119,수원,1975-11-18,9.5
119,수원,1975-11-19,6.9
119,수원,1975-11-20,4
119,수원,1975-11-21,5.9
119,수원,1975-11-22,3.3
119,수원,1975-11-23,-2.7
119,수원,1975-11-24,-2
119,수원,1975-11-25,3.1
119,수원,1975-11-26,5.6
119,수원,1975-11-27,4.4
119,수원,1975-11-28,6.6
119,수원,1975-11-29,2.3
119,수원,1975-11-30,-.7
119,수원,1975-12-01,2.1
119,수원,1975-12-02,8
119,수원,1975-12-03,9.4
119,수원,1975-12-04,10.7
119,수원,1975-12-05,6.5
119,수원,1975-12-06,2.9
119,수원,1975-12-07,-1.1
119,수원,1975-12-08,-1.2
119,수원,1975-12-09,-1.2
119,수원,1975-12-10,-2.7
119,수원,1975-12-11,-5.5
119,수원,1975-12-12,-6.8
119,수원,1975-12-13,-6.5
119,수원,1975-12-14,-7
119,수원,1975-12-15,-5
119,수원,1975-12-16,-6.2
119,수원,1975-12-17,-8.1
119,수원,1975-12-18,-5.1
119,수원,1975-12-19,-4.3
119,수원,1975-12-20,-2
119,수원,1975-12-21,-2.7
119,수원,1975-12-22,-6.5
119,수원,1975-12-23,-11.1
119,수원,1975-12-24,-9.8
119,수원,1975-12-25,-7.7
119,수원,1975-12-26,-9.7
119,수원,1975-12-27,-9.8
119,수원,1975-12-28,-8.4
119,수원,1975-12-29,-7.3
119,수원,1975-12-30,-4.5
119,수원,1975-12-31,-2.7
133,대전,1975-01-01,.2
133,대전,1975-01-02,1.4
133,대전,1975-01-03,-.2
133,대전,1975-01-04,-.7
133,대전,1975-01-05,-.7
133,대전,1975-01-06,-2
133,대전,1975-01-07,.9
133,대전,1975-01-08,2.2
133,대전,1975-01-09,-1.7
133,대전,1975-01-10,-2.4
133,대전,1975-01-11,-4.8
133,대전,1975-01-12,-2.8
133,대전,1975-01-13,-1.8
133,대전,1975-01-14,-3.2
133,대전,1975-01-15,-1
133,대전,1975-01-16,-5.3
133,대전,1975-01-17,-5.6
133,대전,1975-01-18,-6.1
133,대전,1975-01-19,-5.5
133,대전,1975-01-20,-4.5
133,대전,1975-01-21,-3.1
133,대전,1975-01-22,.2
133,대전,1975-01-23,.8
133,대전,1975-01-24,-.5
133,대전,1975-01-25,2.4
133,대전,1975-01-26,-1.6
133,대전,1975-01-27,-.4
133,대전,1975-01-28,-4.4
133,대전,1975-01-29,-5
133,대전,1975-01-30,-2.6
133,대전,1975-01-31,-4.6
133,대전,1975-02-01,-1.3
133,대전,1975-02-02,3.4
133,대전,1975-02-03,3.6
133,대전,1975-02-04,4.2
133,대전,1975-02-05,5.5
133,대전,1975-02-06,6.4
133,대전,1975-02-07,.5
133,대전,1975-02-08,-5.1
133,대전,1975-02-09,-2.9
133,대전,1975-02-10,-3.3
133,대전,1975-02-11,-3.5
133,대전,1975-02-12,-1.1
133,대전,1975-02-13,-.4
133,대전,1975-02-14,1.3
133,대전,1975-02-15,-1.3
133,대전,1975-02-16,-2.4
133,대전,1975-02-17,-2.2
133,대전,1975-02-18,-3.4
133,대전,1975-02-19,-2.5
133,대전,1975-02-20,-1.9
133,대전,1975-02-21,-3.9
133,대전,1975-02-22,-4.7
133,대전,1975-02-23,-2.9
133,대전,1975-02-24,1
133,대전,1975-02-25,3.9
133,대전,1975-02-26,-.3
133,대전,1975-02-27,1.1
133,대전,1975-02-28,-.1
133,대전,1975-03-01,1.9
133,대전,1975-03-02,1.1
133,대전,1975-03-03,4
133,대전,1975-03-04,4.7
133,대전,1975-03-05,3.1
133,대전,1975-03-06,1.7
133,대전,1975-03-07,2.3
133,대전,1975-03-08,3.4
133,대전,1975-03-09,3.4
133,대전,1975-03-10,3.7
133,대전,1975-03-11,4.6
133,대전,1975-03-12,2.8
133,대전,1975-03-13,2.2
133,대전,1975-03-14,3.1
133,대전,1975-03-15,3.9
133,대전,1975-03-16,5.9
133,대전,1975-03-17,5.9
133,대전,1975-03-18,7.2
133,대전,1975-03-19,7.9
133,대전,1975-03-20,5.9
133,대전,1975-03-21,4.9
133,대전,1975-03-22,5.5
133,대전,1975-03-23,5.2
133,대전,1975-03-24,4.4
133,대전,1975-03-25,1.9
133,대전,1975-03-26,3.2
133,대전,1975-03-27,5
133,대전,1975-03-28,6.6
133,대전,1975-03-29,6.6
133,대전,1975-03-30,7.4
133,대전,1975-03-31,5.4
133,대전,1975-04-01,2.9
133,대전,1975-04-02,5.3
133,대전,1975-04-03,6.5
133,대전,1975-04-04,7.9
133,대전,1975-04-05,9
133,대전,1975-04-06,10.2
133,대전,1975-04-07,12.2
133,대전,1975-04-08,9.6
133,대전,1975-04-09,10.4
133,대전,1975-04-10,10.7
133,대전,1975-04-11,10.2
133,대전,1975-04-12,12.4
133,대전,1975-04-13,13.8
133,대전,1975-04-14,13
133,대전,1975-04-15,16
133,대전,1975-04-16,17.3
133,대전,1975-04-17,18.7
133,대전,1975-04-18,15.8
133,대전,1975-04-19,16
133,대전,1975-04-20,13.3
133,대전,1975-04-21,12.5
133,대전,1975-04-22,14.1
133,대전,1975-04-23,13.8
133,대전,1975-04-24,15.1
133,대전,1975-04-25,17.2
133,대전,1975-04-26,14.9
133,대전,1975-04-27,16.1
133,대전,1975-04-28,14.9
133,대전,1975-04-29,17
133,대전,1975-04-30,19.2
133,대전,1975-05-01,18.2
133,대전,1975-05-02,13.6
133,대전,1975-05-03,14.9
133,대전,1975-05-04,12.5
133,대전,1975-05-05,11.3
133,대전,1975-05-06,13.6
133,대전,1975-05-07,14.1
133,대전,1975-05-08,12.7
133,대전,1975-05-09,15.5
133,대전,1975-05-10,18.4
133,대전,1975-05-11,17.4
133,대전,1975-05-12,16.6
133,대전,1975-05-13,14.3
133,대전,1975-05-14,16.3
133,대전,1975-05-15,16.1
133,대전,1975-05-16,17.6
133,대전,1975-05-17,18.1
133,대전,1975-05-18,15.9
133,대전,1975-05-19,13.9
133,대전,1975-05-20,14.9
133,대전,1975-05-21,16.2
133,대전,1975-05-22,17
133,대전,1975-05-23,19
133,대전,1975-05-24,18.3
133,대전,1975-05-25,17.6
133,대전,1975-05-26,19.7
133,대전,1975-05-27,19.2
133,대전,1975-05-28,18.8
133,대전,1975-05-29,20
133,대전,1975-05-30,19.9
133,대전,1975-05-31,17.1
133,대전,1975-06-01,18.3
133,대전,1975-06-02,19.6
133,대전,1975-06-03,21.4
133,대전,1975-06-04,17.6
133,대전,1975-06-05,18.5
133,대전,1975-06-06,18.9
133,대전,1975-06-07,19.4
133,대전,1975-06-08,19.4
133,대전,1975-06-09,19.6
133,대전,1975-06-10,20.4
133,대전,1975-06-11,20
133,대전,1975-06-12,21
133,대전,1975-06-13,21.1
133,대전,1975-06-14,22.1
133,대전,1975-06-15,23.4
133,대전,1975-06-16,24.3
133,대전,1975-06-17,19.9
133,대전,1975-06-18,21.3
133,대전,1975-06-19,22.6
133,대전,1975-06-20,25
133,대전,1975-06-21,23.7
133,대전,1975-06-22,23.4
133,대전,1975-06-23,21.4
133,대전,1975-06-24,19.9
133,대전,1975-06-25,21.2
133,대전,1975-06-26,21.8
133,대전,1975-06-27,21.9
133,대전,1975-06-28,22.9
133,대전,1975-06-29,21.6
133,대전,1975-06-30,22.9
133,대전,1975-07-01,23.8
133,대전,1975-07-02,23.6
133,대전,1975-07-03,24.2
133,대전,1975-07-04,24.5
133,대전,1975-07-05,22.5
133,대전,1975-07-06,21
133,대전,1975-07-07,20.7
133,대전,1975-07-08,22.5
133,대전,1975-07-09,23.9
133,대전,1975-07-10,25
133,대전,1975-07-11,23.2
133,대전,1975-07-12,22.4
133,대전,1975-07-13,24
133,대전,1975-07-14,24.7
133,대전,1975-07-15,27.3
133,대전,1975-07-16,25
133,대전,1975-07-17,26.7
133,대전,1975-07-18,26.7
133,대전,1975-07-19,26.7
133,대전,1975-07-20,27.4
133,대전,1975-07-21,27.1
133,대전,1975-07-22,27.6
133,대전,1975-07-23,27.6
133,대전,1975-07-24,27.5
133,대전,1975-07-25,25.6
133,대전,1975-07-26,25.7
133,대전,1975-07-27,24.7
133,대전,1975-07-28,24.4
133,대전,1975-07-29,26.6
133,대전,1975-07-30,28.1
133,대전,1975-07-31,26.2
133,대전,1975-08-01,28.5
133,대전,1975-08-02,28.4
133,대전,1975-08-03,28.1
133,대전,1975-08-04,27.7
133,대전,1975-08-05,27.5
133,대전,1975-08-06,24.7
133,대전,1975-08-07,26.5
133,대전,1975-08-08,26
133,대전,1975-08-09,23.7
133,대전,1975-08-10,24.1
133,대전,1975-08-11,24.2
133,대전,1975-08-12,26.5
133,대전,1975-08-13,27.8
133,대전,1975-08-14,26.9
133,대전,1975-08-15,25.4
133,대전,1975-08-16,26.1
133,대전,1975-08-17,27.3
133,대전,1975-08-18,27.7
133,대전,1975-08-19,27.3
133,대전,1975-08-20,28.1
133,대전,1975-08-21,27.9
133,대전,1975-08-22,26.9
133,대전,1975-08-23,26.3
133,대전,1975-08-24,25.4
133,대전,1975-08-25,24
133,대전,1975-08-26,25.3
133,대전,1975-08-27,25.7
133,대전,1975-08-28,26
133,대전,1975-08-29,24.2
133,대전,1975-08-30,25.6
133,대전,1975-08-31,24.7
133,대전,1975-09-01,25.9
133,대전,1975-09-02,27
133,대전,1975-09-03,27.6
133,대전,1975-09-04,25.5
133,대전,1975-09-05,26
133,대전,1975-09-06,26.5
133,대전,1975-09-07,25.1
133,대전,1975-09-08,24.7
133,대전,1975-09-09,22.2
133,대전,1975-09-10,22.7
133,대전,1975-09-11,25.2
133,대전,1975-09-12,24.1
133,대전,1975-09-13,21.9
133,대전,1975-09-14,19.9
133,대전,1975-09-15,18.6
133,대전,1975-09-16,19.9
133,대전,1975-09-17,22.5
133,대전,1975-09-18,23.4
133,대전,1975-09-19,23.7
133,대전,1975-09-20,22.1
133,대전,1975-09-21,20.3
133,대전,1975-09-22,18.9
133,대전,1975-09-23,16.8
133,대전,1975-09-24,17.4
133,대전,1975-09-25,19.2
133,대전,1975-09-26,18.7
133,대전,1975-09-27,20.7
133,대전,1975-09-28,19.2
133,대전,1975-09-29,19.5
133,대전,1975-09-30,19.8
133,대전,1975-10-01,20.6
133,대전,1975-10-02,20
133,대전,1975-10-03,19.2
133,대전,1975-10-04,18.4
133,대전,1975-10-05,16
133,대전,1975-10-06,17
133,대전,1975-10-07,16.8
133,대전,1975-10-08,16.3
133,대전,1975-10-09,15.8
133,대전,1975-10-10,12.4
133,대전,1975-10-11,13.8
133,대전,1975-10-12,14.5
133,대전,1975-10-13,15.3
133,대전,1975-10-14,13.5
133,대전,1975-10-15,13
133,대전,1975-10-16,13.7
133,대전,1975-10-17,15
133,대전,1975-10-18,13.2
133,대전,1975-10-19,13.7
133,대전,1975-10-20,13.4
133,대전,1975-10-21,12.9
133,대전,1975-10-22,14.4
133,대전,1975-10-23,14.7
133,대전,1975-10-24,14.5
133,대전,1975-10-25,15.3
133,대전,1975-10-26,14.1
133,대전,1975-10-27,13.2
133,대전,1975-10-28,14
133,대전,1975-10-29,11.7
133,대전,1975-10-30,9.7
133,대전,1975-10-31,9.8
133,대전,1975-11-01,9.2
133,대전,1975-11-02,10.7
133,대전,1975-11-03,11.5
133,대전,1975-11-04,12.3
133,대전,1975-11-05,11.4
133,대전,1975-11-06,12.2
133,대전,1975-11-07,11.5
133,대전,1975-11-08,11.1
133,대전,1975-11-09,9.3
133,대전,1975-11-10,9.7
133,대전,1975-11-11,9.8
133,대전,1975-11-12,12.6
133,대전,1975-11-13,12.1
133,대전,1975-11-14,13.2
133,대전,1975-11-15,12.1
133,대전,1975-11-16,11.7
133,대전,1975-11-17,9.7
133,대전,1975-11-18,9.4
133,대전,1975-11-19,8
133,대전,1975-11-20,3.9
133,대전,1975-11-21,7.3
133,대전,1975-11-22,5
133,대전,1975-11-23,-1.1
133,대전,1975-11-24,.2
133,대전,1975-11-25,5.8
133,대전,1975-11-26,7.7
133,대전,1975-11-27,5.9
133,대전,1975-11-28,7.7
133,대전,1975-11-29,4.3
133,대전,1975-11-30,0
133,대전,1975-12-01,2.7
133,대전,1975-12-02,7.9
133,대전,1975-12-03,8.7
133,대전,1975-12-04,9.5
133,대전,1975-12-05,7.7
133,대전,1975-12-06,2.5
133,대전,1975-12-07,.7
133,대전,1975-12-08,.2
133,대전,1975-12-09,-.1
133,대전,1975-12-10,-2.4
133,대전,1975-12-11,-4
133,대전,1975-12-12,-4.7
133,대전,1975-12-13,-4.8
133,대전,1975-12-14,-4
133,대전,1975-12-15,-4.9
133,대전,1975-12-16,-4.5
133,대전,1975-12-17,-5.6
133,대전,1975-12-18,-3
133,대전,1975-12-19,-2.7
133,대전,1975-12-20,-.5
133,대전,1975-12-21,.3
133,대전,1975-12-22,-3.7
133,대전,1975-12-23,-7.3
133,대전,1975-12-24,-5.8
133,대전,1975-12-25,-.7
133,대전,1975-12-26,-4.5
133,대전,1975-12-27,-5
133,대전,1975-12-28,-4.7
133,대전,1975-12-29,-3.4
133,대전,1975-12-30,-.1
133,대전,1975-12-31,-1
294,거제,1975-01-01,5
294,거제,1975-01-02,3.9
294,거제,1975-01-03,1.9
294,거제,1975-01-04,1.4
294,거제,1975-01-05,2.6
294,거제,1975-01-06,1.2
294,거제,1975-01-07,4.2
294,거제,1975-01-08,6.7
294,거제,1975-01-09,1.9
294,거제,1975-01-10,.8
294,거제,1975-01-11,0
294,거제,1975-01-12,.9
294,거제,1975-01-13,3
294,거제,1975-01-14,.5
294,거제,1975-01-15,2.6
294,거제,1975-01-16,1.3
294,거제,1975-01-17,-.9
294,거제,1975-01-18,-1.5
294,거제,1975-01-19,-1
294,거제,1975-01-20,-.8
294,거제,1975-01-21,-.9
294,거제,1975-01-22,2.2
294,거제,1975-01-23,1.9
294,거제,1975-01-24,4
294,거제,1975-01-25,5.5
294,거제,1975-01-26,3
294,거제,1975-01-27,2.3
294,거제,1975-01-28,.1
294,거제,1975-01-29,-2.2
294,거제,1975-01-30,-.2
294,거제,1975-01-31,.7
294,거제,1975-02-01,3.9
294,거제,1975-02-02,6.6
294,거제,1975-02-03,8.1
294,거제,1975-02-04,5.3
294,거제,1975-02-05,6.1
294,거제,1975-02-06,8.4
294,거제,1975-02-07,6
294,거제,1975-02-08,.7
294,거제,1975-02-09,-.3
294,거제,1975-02-10,.4
294,거제,1975-02-11,-.3
294,거제,1975-02-12,1.7
294,거제,1975-02-13,2.3
294,거제,1975-02-14,3.3
294,거제,1975-02-15,2.8
294,거제,1975-02-16,.3
294,거제,1975-02-17,.8
294,거제,1975-02-18,.2
294,거제,1975-02-19,1.2
294,거제,1975-02-20,.2
294,거제,1975-02-21,-.5
294,거제,1975-02-22,-1.5
294,거제,1975-02-23,-.5
294,거제,1975-02-24,3.4
294,거제,1975-02-25,7.9
294,거제,1975-02-26,2.9
294,거제,1975-02-27,6.2
294,거제,1975-02-28,4
294,거제,1975-03-01,3.8
294,거제,1975-03-02,5.5
294,거제,1975-03-03,5.5
294,거제,1975-03-04,5.8
294,거제,1975-03-05,7.1
294,거제,1975-03-06,5.6
294,거제,1975-03-07,6
294,거제,1975-03-08,6.7
294,거제,1975-03-09,8.3
294,거제,1975-03-10,7.6
294,거제,1975-03-11,6.9
294,거제,1975-03-12,6.5
294,거제,1975-03-13,6.2
294,거제,1975-03-14,6
294,거제,1975-03-15,6.5
294,거제,1975-03-16,6.9
294,거제,1975-03-17,7.4
294,거제,1975-03-18,7.5
294,거제,1975-03-19,10
294,거제,1975-03-20,9.7
294,거제,1975-03-21,6.9
294,거제,1975-03-22,8.4
294,거제,1975-03-23,10
294,거제,1975-03-24,7.8
294,거제,1975-03-25,4.8
294,거제,1975-03-26,5.6
294,거제,1975-03-27,7.9
294,거제,1975-03-28,9.3
294,거제,1975-03-29,11
294,거제,1975-03-30,11.1
294,거제,1975-03-31,8
294,거제,1975-04-01,7.2
294,거제,1975-04-02,6.6
294,거제,1975-04-03,8.4
294,거제,1975-04-04,10.1
294,거제,1975-04-05,14.6
294,거제,1975-04-06,12.8
294,거제,1975-04-07,13.1
294,거제,1975-04-08,13.4
294,거제,1975-04-09,11.5
294,거제,1975-04-10,12.4
294,거제,1975-04-11,11.3
294,거제,1975-04-12,11.6
294,거제,1975-04-13,12.8
294,거제,1975-04-14,14.9
294,거제,1975-04-15,14.8
294,거제,1975-04-16,13.5
294,거제,1975-04-17,14.4
294,거제,1975-04-18,13.9
294,거제,1975-04-19,13.5
294,거제,1975-04-20,13.3
294,거제,1975-04-21,13.7
294,거제,1975-04-22,12.3
294,거제,1975-04-23,12.5
294,거제,1975-04-24,12.5
294,거제,1975-04-25,13.3
294,거제,1975-04-26,15.6
294,거제,1975-04-27,14.8
294,거제,1975-04-28,14.7
294,거제,1975-04-29,16.7
294,거제,1975-04-30,15.8
294,거제,1975-05-01,16.6
294,거제,1975-05-02,15
294,거제,1975-05-03,14.4
294,거제,1975-05-04,15.5
294,거제,1975-05-05,14.2
294,거제,1975-05-06,13.3
294,거제,1975-05-07,14.2
294,거제,1975-05-08,14
294,거제,1975-05-09,16
294,거제,1975-05-10,16.2
294,거제,1975-05-11,15.3
294,거제,1975-05-12,15.6
294,거제,1975-05-13,16.2
294,거제,1975-05-14,17.9
294,거제,1975-05-15,16.7
294,거제,1975-05-16,17.7
294,거제,1975-05-17,16.7
294,거제,1975-05-18,15.4
294,거제,1975-05-19,16.3
294,거제,1975-05-20,14.9
294,거제,1975-05-21,15.3
294,거제,1975-05-22,18
294,거제,1975-05-23,18.9
294,거제,1975-05-24,18.5
294,거제,1975-05-25,19.9
294,거제,1975-05-26,18.9
294,거제,1975-05-27,18.1
294,거제,1975-05-28,19
